afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
0,0.15,-0.7,0,-0.75,1.92,1,11958.98,0,8.45,0,65,10,6,-2.65,-1.95,0,0,0,0,0,0,0,0,-0.12,3.83,3.71,23,22.25,664,3,437.93
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.04,0,0,0,-0.74,0,-1387.1,0,-5.85,0,-18,0,-4,3.04,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-2,-107.68
0,-0.01,0.15,0,0,-0.11,0,-217.58,0,-0.19,0,-2,-1,-1,0.67,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,-13,0,-11.34
0,0.05,-0.060000000000002,0,0,4.4,0,29828.48,0,-11.85,0,17,0,2,-0.36,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1657,6,164.93
0,0.1,-0.099999999999994,6,0,-0.37,0,18514.1,0,4.58,0,34,5,1,-1.1,-1,5,0,0,0,0,0,0,5,0,0,0,0,0,1028,4,294.68
0,0.43,2.53,0,0,-2.04,0,29126.72,0,50.46,0,170,52,21,0.52,-2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,10,1290.47
0,0.0099999999999998,0,0,0,-0.45,0,-7431.22,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-413,1,16.240000000002
0,0.21,-0.32,3,7,4.36,0,60053.16,0,4.49,0,87,63,12,-2.36,-2.04,0,0,0,0,0,0,1,0,0.24,0,0.23,0,7,3336,4,636.82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.12,0.94,1,5,-5.52,0,-39835.43,0,14.95,-1,-47,-47,-14,3.01,2.07,3,0,0,0,0,0,0,3,0.2,0,0.2,0,5,-2213,-4,-363.85
0,0.0099999999999998,-0.050000000000004,2,0,0.12,0,5916.8599999999,0,0.18000000000001,0,5,4,1,-0.38,-0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,35.9
0,-0.44,1.41,-21,-3,-9.82,0,-180299.3,0,-2.04,0,-181,-65,-10,5.44,4.03,-3,0,0,0,0,0,1,-3,-0.28,0,-0.28,0,-3,-10017,1,-1310.32
0,0,0.010000000000005,0,0,0,0,0,0,0,0,0,-1,0,0.0099999999999909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.06,0.24,-1,0,-1.65,0,-12281.98,0,-0.61,0,-21,-6,-4,1.22,0.98,1,0,0,0,0,0,0,1,0,0,0,0,0,-682,-3,-161.67
