afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
0,0.77,29.77,11,2.83,15.21,6,35182.29,1,152.17,2,361,177,37,70.52,40.75,1,1,0,0,1,0,6,1,0.47,4,4.47,24,26.83,1955,85,2313.79
0,0,0,1,0,0,0,0,0,0,0,0,54,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.24,30.21,3,0.79,8.68,7,6241.19,1,82.76,3,128,57,17,82.96,52.75,0,1,0,0,1,0,3,0,0.26,12.33,12.6,37,37.79,347,49,718.68
0,0.31,38.03,3,1.92,10.61,5,9747.25,1,86.63,1,162,90,20,88.5,50.47,0,1,0,0,1,0,3,0,0.64,4.67,5.31,14,15.92,542,51,918.93
0,1.76,42.49,52,30,36,0,189704.11,0,146.38,2,728,540,92,66.6,24.11,11,1,0,0,1,0,14,11,2.14,0,2.14,0,30,10539,151,5269.56
0,3.02,36.73,112,0,74.4,0,673501.17,0,121.68,0,1254,698,109,49.52,12.79,15,0,0,0,0,0,0,15,0,0,0,0,0,37417,149,9052.84
0,2.28,34,7,0,35.43,3,242433.46,1,193.16,1,1049,352,123,60.61,26.61,0,1,0,0,1,0,13,0,0,0.69,0.69,9,9,13469,92,6843.22
0,6.54,41.23,202,162,88.52,0,1736757.55,0,221.63,25,2515,1604,222,41.23,0,35,1,0,0,1,0,52,35,3.12,0,3.12,0,162,96487,223,19619.26
0,1.58,42.77,30,43,57.52,1,272862.11,1,82.47,1,688,483,85,70.91,28.14,1,1,0,0,1,0,19,1,2.26,0.05,2.32,1,44,15159,119,4743.63
0,10.36,39.31,228,218,95.54,0,2970620.12,0,325.47,2,3799,2217,371,39.31,0,13,1,0,0,1,0,70,13,3.11,0,3.11,0,218,165034,291,31094.34
0,1.75,43.34,36,49,35.56,0,186329.05,0,147.36,17,735,609,74,71.68,28.34,4,1,0,0,1,0,25,4,1.96,0,1.96,0,49,10352,140,5240.02
0,4.9,38.34,154,71,115.71,0,1700612.77,0,127.02,1,2047,1015,172,39.68,1.34,19,1,0,1,0,0,24,19,2.96,0,2.96,0,71,94478,145,14697.27
0,3.1,38.09,94,66,77.82,0,722679.76,0,119.32,9,1273,1043,134,51.26,13.17,11,1,0,0,1,0,21,11,3.14,0,3.14,0,66,40149,157,9286.05
0,2.02,42.23,40,45,39.33,0,238656.69,0,154.26,9,860,885,106,66.18,23.95,4,1,0,0,1,0,22,4,2.05,0,2.05,0,45,13259,133,6067.54
0,1.17,40.75,44,27,42.03,0,146974.02,0,83.2,1,540,349,56,71.88,31.13,2,1,0,0,1,0,10,2,2.7,0,2.7,0,27,8165,89,3496.9
0,1.84,40.8,77,0,62.99,0,347372.74,0,87.56,0,856,614,84,62.27,21.47,8,0,0,0,0,0,0,8,0,0,0,0,0,19298,87,5515.16
0,3.06,40.23,86,54,47.92,2,439548.23,1,191.41,7,1231,725,116,55.88,15.65,21,1,0,0,1,0,24,21,2.25,0.21,2.46,5,59,24419,175,9172.44
0,6.61,39.36,163,106.83,72.79,3,1443528.81,1,272.46,5,2438,1470,249,39.36,0,16,1,0,1,0,0,46,16,2.32,0.3,2.63,14,120.83,80196,281,19831.73
0,2.86,38.7,92,53,64.35,0,552740.03,0,133.46,8,1257,717,100,55.15,16.45,11,1,0,0,1,0,18,11,2.94,0,2.94,0,53,30708,114,8588.94
0,10.97,35.85,217,97,119.8,0,3941771.78,0,274.67,3,3935,1934,464,35.85,0,30,1,0,0,1,0,54,30,1.8,0,1.8,0,97,218987,329,32904.25
0,11.36,39.11,228,128,109.63,0,3734784.33,0,310.76,2,3986,2214,435,39.11,0,32,1,0,0,1,0,55,32,2.33,0,2.33,0,128,207488,374,34067.92
0,1.23,39.53,32,0,44.16,0,163051.06,0,83.59,0,530,205,63,71,31.47,10,0,0,0,0,0,0,10,0,0,0,0,0,9058,125,3691.87
0,0.88,33.98,28,0,26.71,0,70879.31,0,99.34,0,426,387,53,68.63,34.65,6,0,0,0,0,0,0,6,0,0,0,0,0,3938,75,2653.48
0,0.05,48.09,4,0,8.5,0,1258,0,17.41,0,37,66,5,117.11,69.02,1,0,0,0,0,0,0,1,0,0,0,0,0,70,16,148
0,3.58,38.74,159,0,74.43,0,798944.68,0,144.22,0,1531,1017,138,42.45,3.71,34,0,0,0,0,0,0,34,0,0,0,0,0,44386,129,10734.19
0,0.41,33.28,18,0,26.96,0,33499.53,0,46.1,0,218,276,38,74.73,41.45,1,0,0,0,0,0,0,1,0,0,0,0,0,1861,52,1242.7
0,5.4,39.95,147,57.5,68.02,3,1102664.24,1,238.32,5,2094,1325,230,39.95,0,25,1,0,0,1,0,28,25,2.05,0.14,2.2,4,61.5,61259,214,16210.63
0,1.36,42.01,36,17.5,36.92,1,150557.75,1,110.44,2,599,422,75,70.99,28.98,11,1,0,0,1,0,11,11,1.59,0.09,1.68,1,18.5,8364,112,4077.61
0,1.78,41.86,56,36,49.92,0,266595.74,0,106.98,6,786,590,90,65.6,23.74,8,1,0,0,1,0,22,8,1.64,0,1.64,0,36,14811,111,5340.41
0,0.63,43.22,35,19,29.79,0,56195.22,0,63.33,2,311,185,19,87.68,44.46,7,1,0,0,1,0,4,7,4.75,0,4.75,0,19,3122,67,1886.55
0,10.95,35.51,211,114,115.26,0,3786611.29,0,285.04,3,3878,1916,436,35.51,0,29,1,0,0,1,0,55,29,2.07,0,2.07,0,114,210367,355,32853.16
