afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
0,0.92,29.07,11,2.08,17.13,7,47141.27,1,160.62,2,426,187,43,67.87,38.8,1,1,0,0,1,0,6,1,0.35,7.83,8.18,47,49.08,2619,88,2751.72
0,0,0,1,0,0,0,0,0,0,0,0,54,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2,30.21,3,0.79,7.94,7,4854.09,1,76.91,3,110,57,13,86,55.79,0,1,0,0,1,0,3,0,0.26,12.33,12.6,37,37.79,270,47,611
0,0.3,38.18,3,1.92,10.5,5,9529.67,1,86.44,1,160,89,19,89.17,50.99,0,1,0,0,1,0,3,0,0.64,4.67,5.31,14,15.92,529,51,907.59
0,1.81,42.43,52,30,40.4,0,219532.59,0,134.53,2,745,540,94,66.24,23.81,11,1,0,0,1,0,14,11,2.14,0,2.14,0,30,12196,157,5434.49
0,3.12,36.63,118,0,74.03,0,692015.27,0,126.26,0,1288,703,110,48.42,11.79,20,0,0,0,0,0,0,20,0,0,0,0,0,38445,153,9347.52
0,2.71,36.53,7,0,33.39,3,271560.18,1,243.62,1,1219,404,144,61.13,24.6,0,1,0,0,1,0,13,0,0,0.69,0.69,9,9,15087,102,8133.69
0,6.55,41.23,202,162,88.07,0,1729326.33,0,222.95,25,2515,1604,222,41.23,0,35,1,0,0,1,0,52,35,3.12,0,3.12,0,162,96074,224,19635.5
0,1.79,42.45,33,50,61.88,1,332915.27,1,86.96,1,775,546,97,68.55,26.1,1,1,0,0,1,0,20,1,2.5,0.05,2.55,1,51,18495,123,5380.45
0,10.36,39.31,228,218,95.54,0,2970620.12,0,325.47,2,3799,2217,371,39.31,0,13,1,0,0,1,0,70,13,3.11,0,3.11,0,218,165034,291,31094.34
0,1.63,44.28,37,54,30.04,0,146493.62,0,162.31,16,688,562,60,74.69,30.41,7,1,0,0,1,0,25,7,2.16,0,2.16,0,54,8139,136,4876.17
0,4.91,38.29,156,71,115.83,0,1706529.63,0,127.2,1,2052,1019,173,39.3,1.01,19,1,0,1,0,0,24,19,2.96,0,2.96,0,71,94807,145,14733.17
0,2.66,39.5,73,63,68,0,542380.46,0,117.28,9,1092,978,124,56.7,17.2,8,1,0,0,1,0,22,8,2.86,0,2.86,0,63,30132,158,7975.73
0,2.02,42.24,40,45,39.33,0,238656.69,0,154.26,9,860,884,106,66.19,23.95,4,1,0,0,1,0,22,4,2.05,0,2.05,0,45,13259,133,6067.54
0,1.11,40.99,43,27,40.38,0,134692.04,0,82.59,1,519,343,52,73.1,32.11,3,1,0,0,1,0,10,3,2.7,0,2.7,0,27,7483,86,3335.23
0,1.96,40.73,82,0,60.54,0,356739.7,0,97.33,0,899,646,90,60.67,19.94,11,0,0,0,0,0,0,11,0,0,0,0,0,19819,94,5892.58
0,3.02,40.46,91,54.5,48.16,2,435993.6,1,187.96,8,1219,718,111,55.9,15.44,23,1,0,0,1,0,24,23,2.27,0.13,2.4,3,57.5,24222,172,9052.62
0,6.66,39.32,165,107.83,72.69,3,1451625.34,1,274.75,5,2452,1474,250,39.32,0,17,1,0,1,0,0,46,17,2.34,0.3,2.65,14,121.83,80646,283,19970.7
0,3.53,38.66,107,64,71.05,0,751792.85,0,148.94,10,1480,817,117,50.97,12.31,15,1,0,0,1,0,20,15,3.2,0,3.2,0,64,41766,142,10581.63
0,10.97,35.72,217,97,119.8,0,3941771.78,0,274.67,3,3935,1952,464,35.72,0,30,1,0,0,1,0,54,30,1.8,0,1.8,0,97,218987,329,32904.25
0,11.31,39.09,228,128,109.19,0,3704891.2,0,310.76,2,3970,2216,435,39.09,0,32,1,0,0,1,0,55,32,2.33,0,2.33,0,128,205827,374,33931.17
0,1.23,39.53,32,0,44.16,0,163051.06,0,83.59,0,530,205,63,71,31.47,10,0,0,0,0,0,0,10,0,0,0,0,0,9058,125,3691.87
0,0.88,33.57,28,0,28.38,0,75185.65,0,93.34,0,424,381,53,68.22,34.65,6,0,0,0,0,0,0,6,0,0,0,0,0,4177,76,2649.12
0,0.06,48.14,4,0,7,0,1331.15,0,27.17,0,44,67,5,116.4,68.26,1,0,0,0,0,0,0,1,0,0,0,0,0,74,20,190.16
0,3.58,38.71,159,0,75.03,0,805653.91,0,143.12,0,1534,1019,138,42.42,3.71,33,0,0,0,0,0,0,33,0,0,0,0,0,44759,128,10738
0,0.41,33.28,18,0,26.71,0,33045.45,0,46.3,0,217,276,38,74.74,41.46,1,0,0,0,0,0,0,1,0,0,0,0,0,1836,52,1237
0,5.34,39.99,147,57.5,67.26,3,1077881.12,1,238.24,5,2070,1321,226,39.99,0,25,1,0,0,1,0,28,25,2.05,0.14,2.2,4,61.5,59882,214,16024.84
0,1.36,41.95,36,17.5,36.92,1,150557.75,1,110.44,2,599,424,75,70.93,28.98,11,1,0,0,1,0,11,11,1.59,0.09,1.68,1,18.5,8364,112,4077.61
0,1.73,42.16,54,36,47.53,0,246381.24,0,109.05,6,760,577,88,66.47,24.31,8,1,0,0,1,0,22,8,1.64,0,1.64,0,36,13688,113,5183.34
0,0.63,42.87,35,19,29.79,0,56195.22,0,63.33,2,311,190,19,87.33,44.46,7,1,0,0,1,0,4,7,4.75,0,4.75,0,19,3122,67,1886.55
0,10.85,35.61,208,114,114.12,0,3716160.8,0,285.35,3,3842,1902,430,35.61,0,29,1,0,0,1,0,55,29,2.07,0,2.07,0,114,206453,356,32563.77
0,2.18,41.21,57,33,67.05,0,437713.24,0,97.35,5,913,537,102,63.02,21.81,4,1,0,0,1,0,15,4,2.2,0,2.2,0,33,24317,142,6527.72
0,2,22.9,2,4,37.23,4,223766.06,1,161.46,1,965,318,136,49.63,26.73,0,1,0,0,1,0,28,0,0.14,0.57,0.71,16,20,12431,75,6010.81
