afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0,0,-0.18,0,-11.63,0,1.7,0,1,0,0,-0.040000000000006,-0.039999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,9.4599999999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21.7,0,0,0,0,0,0,0,0,0,131,1,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.04,0,0,0,2.15,0,3785.66,0,-5.16,0,20,0,0,-0.36,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,210,2,123.67
0,0.07,0,0,0,0.97,0,3927.59,0,4.55,0,31,0,0,-0.35000000000001,-0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,219,2,198.5
0,0.03,0,0,0,1.77,0,2621.02,0,-8.54,0,16,0,0,-0.31,-0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,146,2,99.37
0,0.01,0,0,0,0.15,0,745.66,0,0.75999999999999,0,4,0,0,-0.050000000000011,-0.049999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,30.96
0,0.01,0,0,0,0.92,0,635.96,0,-5.88,0,4,0,0,-0.17999999999999,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,27.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21.05,0,0,0,0,0,0,0,0,0,89,1,21.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17.85,0,0,0,0,0,0,0,0,0,18,1,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16.58,0,0,0,0,0,0,0,0,0,21,1,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-0.1,0,12.91,0,1.99,0,1,0,0,-0.049999999999997,-0.049999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01,0,0,0,-0.1,0,4.5,0,1.97,0,1,0,0,-0.040000000000006,-0.040000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6999999999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13.07,0,0,0,0,0,0,0,0,0,103,1,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.12,20.46,2,0.8,5.96,4,2062.87,1,58.02,1,68,27,10,-90.54,-111,0,1,0,0,1,0,1,0,0.8,16,16.8,16,16.8,115,34,345.95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.02,0,0,0.5,1.64,1,105.91,1,39.55,1,17,12,3,-94.22,-94.22,0,1,0,0,1,0,1,0,0.5,1,1.5,1,1.5,6,14,64.73
0,0.16,38.48,1,1.17,6.36,6,3149.61,1,77.78,3,93,56,14,-76.66,-115.14,0,1,0,0,1,0,3,0,0.39,10,10.39,30,31.17,175,40,494.94
0,0.09,0,2,0.67,5.29,5,1357.18,1,48.58,1,54,22,8,-107.98,-107.98,0,1,0,0,1,0,1,0,0.67,25,25.67,25,25.67,75,27,256.76
