afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
0,0,0,1,0,0,0,0,0,0,0,0,18,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,39,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,84,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.23,24.69,4,0.75,11.79,3,8202.49,1,59.05,2,126,45,16,77.98,53.29,0,1,0,0,1,0,2,0,0.38,5,5.38,10,10.75,456,46,695.97
0,0.17,44.25,1,6.5,6.74,2,3439.32,1,75.65,6,94,122,16,98.89,54.64,0,1,0,0,1,0,6,0,1.08,0.5,1.58,3,9.5,191,43,510.07
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.33,39.43,2,3.83,11.14,5,11068.49,1,89.23,8,177,125,21,89.33,49.9,0,1,0,0,1,0,8,0,0.48,4.13,4.6,33,36.83,615,49,993.8
0,0.54,36.32,1,3.67,10.89,6,17699.84,1,149.28,8,273,167,34,80.29,43.97,0,1,0,0,1,0,10,0,0.37,5.7,6.07,57,60.67,983,62,1625.5
0,0.3,40.82,1,3.67,8.53,5,7675.98,1,105.6,8,163,121,23,90.29,49.47,0,1,0,0,1,0,8,0,0.46,5.13,5.58,41,44.67,426,46,900.34
0,0.65,29.93,9,3.25,14.61,4,28310.3,1,132.58,2,312,169,32,72.87,42.94,1,1,0,0,1,0,6,1,0.54,2.33,2.88,14,17.25,1573,74,1937.35
0,0.16,37.24,1,1.42,6.23,5,2965.61,1,76.3,3,90,51,14,93.36,56.12,0,1,0,0,1,0,3,0,0.47,4.67,5.14,14,15.42,165,39,475.69
0,0,0,1,0,0,0,0,0,0,0,0,48,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,36,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,42,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.24,43.17,6,9,8.71,2,6168.42,1,81.23,4,123,126,22,93.12,49.95,0,1,0,0,1,0,6,0,1.5,0.33,1.83,2,11,343,54,707.85
0,0,0,1,0,0,0,0,0,0,0,0,35,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,11.61,0,11.61,0,5,47,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11.61
0,0,0,1,0,0,0,0,0,0,0,0,36,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,45,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.19,24.69,2,1.2,8.23,4,4716.95,1,69.66,2,105,45,13,80.81,56.12,0,1,0,0,1,0,2,0,0.6,8,8.6,16,17.2,262,44,573.24
0,0,0,1,0,0,0,0,0,0,0,0,45,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,75,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.28,32.86,3,0.79,9.66,7,8226.87,1,88.18,3,148,84,20,83.56,50.7,0,1,0,0,1,0,3,0,0.26,12.33,12.6,37,37.79,457,54,851.72
0,0,0,1,0,0,0,0,0,0,0,0,94,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,42,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,10,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,70,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08,0,1,0,10,0,2525.39,0,25.25,0,73,22,17,56.2,56.2,0,0,0,0,0,0,0,0,0,0,0,0,0,140,11,252.54
0,0.04,26.8,1,0,7,0,756,0,15.43,0,36,15,7,93.99,67.19,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,108
0,0.03,0,1,0,5,0,450,0,18,0,30,9,5,70.93,70.93,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,90
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06,26.04,2,0,5.57,2,1083.57,1,34.91,1,45,40,6,92.77,66.73,0,1,0,0,1,0,1,0,0,4,4,4,4,60,20,194.49
0,0.08,0,1,1,3.93,1,941.77,1,61.02,1,51,22,4,70.07,70.07,0,1,0,0,1,0,1,0,1,1,2,1,2,52,26,239.72
0,0.05,38.99,1,1.5,2.71,1,415.98,1,56.81,3,35,30,6,106.57,67.58,0,1,0,0,1,0,3,0,0.5,0.67,1.17,2,3.5,23,21,153.73
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.13,31.94,1,0,26,0,10452,0,15.46,0,134,45,26,82.7,50.76,0,0,0,0,0,0,0,0,0,0,0,0,0,581,8,402
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.09,42.36,1,2,4.74,2,1216.22,1,54.2,2,56,47,10,103.54,61.18,0,1,0,0,1,0,2,0,1,1,2,2,4,68,24,256.76
0,0.18,40.94,3,5,10.5,2,5512.5,1,50,2,105,73,17,94.65,53.71,0,1,0,0,1,0,3,0,1.67,0.67,2.33,2,7,306,32,525
0,0.13,42.03,1,4.5,6.07,2,2283.07,1,61.94,2,80,65,14,98.86,56.83,0,1,0,0,1,0,3,0,1.5,0.67,2.17,2,6.5,127,26,376.04
0,0.13,42.03,1,4.5,6.07,2,2283.07,1,61.94,2,80,65,14,98.86,56.83,0,1,0,0,1,0,3,0,1.5,0.67,2.17,2,6.5,127,26,376.04
0,0.13,16.34,5,0,6.32,0,2405.03,0,60.29,0,82,65,14,72.6,56.26,0,0,0,0,0,0,0,0,0,0,0,0,0,134,25,380.8
0,0.15,17.4,3,0,6.62,0,3035.14,0,69.24,0,88,76,14,73.36,55.96,1,0,0,0,0,0,0,1,0,0,0,0,0,169,37,458.43
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.08,23.11,2,0,5.17,2,1231.83,1,46.15,1,52,52,6,89.22,66.11,0,1,0,0,1,0,1,0,0,4,4,4,4,68,24,238.42
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.11,0,4,1,7.88,1,2701.27,1,43.56,1,68,28,6,64.74,64.74,0,1,0,0,1,0,1,0,1,1,2,1,2,150,33,343.02
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06,0,1,1,3.68,1,639.4,1,47.31,1,39,19,4,71.05,71.05,0,1,0,0,1,0,1,0,1,1,2,1,2,36,22,173.92
0,0.07,0,1,1,3.82,1,787.29,1,54.07,1,45,21,4,70.53,70.53,0,1,0,0,1,0,1,0,1,1,2,1,2,44,24,206.32
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27.63,1,0,0,0,0,0,0,0,0,7,5,198.63,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03,39.87,2,0,2.46,0,231.41,0,38.19,2,23,31,4,112.65,72.78,0,1,0,0,1,0,2,0,0,0,0,0,0,13,17,94.01
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.06,26.96,2,0,4.62,2,764.63,1,35.89,1,39,37,6,94.18,67.22,0,1,0,0,1,0,1,0,0,4,4,4,4,42,19,165.67
0,0,0,1,0,0,0,0,0,0,0,0,0,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
